[17-Dec-2014 13:46:17 UTC] PHP Warning:  include(includes/init.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/views/register.php on line 17
[17-Dec-2014 13:46:17 UTC] PHP Warning:  include(): Failed opening 'includes/init.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /home/ubuntu/workspace/views/register.php on line 17
[17-Dec-2014 13:46:17 UTC] PHP Notice:  Undefined variable: user in /home/ubuntu/workspace/views/register.php on line 26
[17-Dec-2014 13:46:17 UTC] PHP Fatal error:  Call to a member function register() on a non-object in /home/ubuntu/workspace/views/register.php on line 26
[17-Dec-2014 13:49:17 UTC] PHP Warning:  include(includes/init.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/views/register.php on line 17
[17-Dec-2014 13:49:17 UTC] PHP Warning:  include(): Failed opening 'includes/init.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /home/ubuntu/workspace/views/register.php on line 17
[17-Dec-2014 13:49:18 UTC] PHP Warning:  include(includes/init.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/views/register.php on line 17
[17-Dec-2014 13:49:18 UTC] PHP Warning:  include(): Failed opening 'includes/init.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /home/ubuntu/workspace/views/register.php on line 17
[17-Dec-2014 13:49:18 UTC] PHP Notice:  Undefined variable: user in /home/ubuntu/workspace/views/register.php on line 29
[17-Dec-2014 13:49:18 UTC] PHP Fatal error:  Call to a member function register() on a non-object in /home/ubuntu/workspace/views/register.php on line 29
[17-Dec-2014 13:49:33 UTC] PHP Notice:  Use of undefined constant __SITE_PATH - assumed '__SITE_PATH' in /home/ubuntu/workspace/includes/init.php on line 4
[17-Dec-2014 13:49:33 UTC] PHP Warning:  include(__SITE_PATH/application/controller_base.class.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/includes/init.php on line 4
[17-Dec-2014 13:49:33 UTC] PHP Warning:  include(): Failed opening '__SITE_PATH/application/controller_base.class.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /home/ubuntu/workspace/includes/init.php on line 4
[17-Dec-2014 13:49:33 UTC] PHP Notice:  Use of undefined constant __SITE_PATH - assumed '__SITE_PATH' in /home/ubuntu/workspace/includes/init.php on line 7
[17-Dec-2014 13:49:33 UTC] PHP Warning:  include(__SITE_PATH/application/registry.class.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/includes/init.php on line 7
[17-Dec-2014 13:49:33 UTC] PHP Warning:  include(): Failed opening '__SITE_PATH/application/registry.class.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /home/ubuntu/workspace/includes/init.php on line 7
[17-Dec-2014 13:49:33 UTC] PHP Notice:  Use of undefined constant __SITE_PATH - assumed '__SITE_PATH' in /home/ubuntu/workspace/includes/init.php on line 10
[17-Dec-2014 13:49:33 UTC] PHP Warning:  include(__SITE_PATH/application/router.class.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/includes/init.php on line 10
[17-Dec-2014 13:49:33 UTC] PHP Warning:  include(): Failed opening '__SITE_PATH/application/router.class.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /home/ubuntu/workspace/includes/init.php on line 10
